date,max,min,DDF,ads,eggs
Apr 29th,83,46,65,0%,0%
Apr 30th,79,52,80,0%,0%
May 1st,64,47,86,0%,0%
May 2nd,79,39,98,0%,0%
May 3rd,83,47,113,0%,0%
May 4th,74,51,126,0%,0%
May 5th,51,44,126,0%,0%
May 6th,56,43,128,0%,0%
May 7th,60,40,131,0%,0%
May 8th,62,42,135,0%,0%
May 9th,58,42,138,0%,0%
May 10th,65,41,143,0%,0%
May 11th,70,38,151,0%,0%
May 12th,76,38,161,0%,0%
May 13th,80,47,174,1%,0%
May 14th,83,56,194,2%,0%
May 15th,82,58,214,4%,0%
May 16th,72,52,226,5%,0%
May 17th,75,47,238,7%,0%
May 18th,82,53,255,10%,0%
May 19th,84,51,273,13%,0%
May 20th,87,55,294,18%,0%
May 21st,78,55,311,22%,0%
May 22nd,62,46,315,23%,0%
May 23rd,66,37,321,24%,0%
May 24th,68,42,328,26%,0%
May 25th,72,37,335,28%,0%
May 26th,74,42,345,31%,0%
May 27th,70,55,357,34%,0%
May 28th,74,54,371,37%,1%
May 29th,78,52,386,41%,1%
May 30th,74,46,397,44%,1%
May 31st,68,41,403,45%,2%
Jun 1st,70,42,411,47%,2%
Jun 2nd,74,44,421,49%,3%
Jun 3rd,77,43,432,52%,3%
Jun 4th,79,48,446,55%,5%
Jun 5th,78,47,459,57%,6%
Jun 6th,83,47,474,60%,8%
Jun 7th,85,49,491,64%,11%
Jun 8th,77,60,509,67%,14%
Jun 9th,69,54,521,69%,16%
Jun 10th,72,52,533,71%,19%
Jun 11th,76,47,545,73%,21%
Jun 12th,80,54,562,76%,25%
Jun 13th,82,55,580,78%,30%
Jun 14th,65,49,588,79%,32%
Jun 15th,67,46,595,80%,33%
Jun 16th,76,43,606,82%,36%
Jun 17th,72,54,619,83%,39%
Jun 18th,61,46,623,84%,40%
Jun 19th,58,38,625,84%,41%
Jun 20th,58,39,627,84%,41%
Jun 21st,67,38,633,85%,43%
Jun 22nd,73,36,642,86%,44%
Jun 23rd,78,37,652,87%,47%
Jun 24th,79,41,664,88%,49%
Jun 25th,78,49,678,90%,52%
Jun 26th,79,44,690,91%,55%
Jun 27th,77,55,706,92%,58%
Jun 28th,81,57,724,93%,62%
Jun 29th,85,54,744,94%,65%
Jun 30th,87,49,762,95%,69%
Jul 1st,83,51,779,96%,72%
Jul 2nd,80,45,792,97%,74%
Jul 3rd,81,38,804,97%,75%
Jul 4th,82,37,816,97%,77%
Jul 5th,84,41,831,98%,79%
Jul 6th,87,45,847,98%,81%
Jul 7th,89,48,866,99%,84%
Jul 8th,90,49,886,99%,86%
Jul 9th,93,50,906,99%,88%
Jul 10th,77,58,924,99%,90%
Jul 11th,80,53,940,100%,91%
Jul 12th,85,42,955,100%,92%
Jul 13th,82,50,971,100%,93%
Jul 14th,88,44,988,100%,94%
Jul 15th,92,48,1008,0%,95%
Jul 16th,95,47,1028,0%,96%
Jul 17th,78,54,1044,1%,97%
Jul 18th,81,46,1058,1%,97%
Jul 19th,90,41,1075,1%,98%
Jul 20th,95,46,1095,2%,98%
Jul 21st,94,53,1117,2%,99%
Jul 22nd,89,53,1138,3%,99%
Jul 23rd,96,46,1158,4%,99%
Jul 24th,85,61,1181,5%,99%
Jul 25th,80,52,1197,6%,100%
Jul 26th,79,44,1210,7%,100%
Jul 27th,83,41,1224,8%,36%
Jul 28th,88,43,1240,9%,0%
Jul 29th,90,48,1259,11%,0%
Jul 30th,84,52,1277,13%,1%
Jul 31st,85,46,1293,14%,1%
Aug 1st,89,44,1310,17%,1%
Aug 2nd,91,47,1329,19%,2%
Aug 3rd,90,50,1349,22%,2%
Aug 4th,83,55,1367,24%,3%
Aug 5th,80,59,1387,27%,4%
Aug 6th,76,57,1403,30%,4%
